SourceOccurrenceId	SourceTaxonId	Kingdom	Phylum	Class	Order/Subclass/Superorder	Superfamily	Family	Species	IUCN Status	Habitat	Citation	ReportedSpeciesName	ReportedSourceFamily	TypeOfIncon	LocalityID	LocalityName	YYYY	DOI	referenceUrl	ReferenceCitation
540	WORMS:504841	Animalia	Mollusca	Bivalvia	Carditida	Carditoidea 	Carditidae	Beguina semiorbiculata (Linnaeus, 1758)	Not Evaluated	Marine	Wong and Arshad (2011)	Beguina semiorbiculata (Linnaeus, 1758)	Carditidae		1733710	Pulau Mabul, Sabah	2011	https://doi.org/10.3923/jfas.2011.669.699	https://scialert.net/abstract/?doi=jfas.2011.669.699	Wong, N. L. W. S., & Arshad, A. (2011). A brief review on marine shelled mollusca (Gastropoda and Bivalvia) record in Malaysia. Journal of Fisheries and Aquatic Science, 6(7), 669–699.
541	WORMS:137775	Animalia	Mollusca	Bivalvia	Venerida	Chamoidea	Chamidae	Chama sp.1 Linnaeus, 1758	Not Evaluated	Marine	Matsumoto et al. (2017)	Chama sp.	Chamidae 		1736483	Marudu Bay	2017		https://iwlearn.net/resolveuid/9edc3b9c-24ac-47a8-a1c7-fb1c2ff9da7b	Matsumoto, M. B., Saleh, E., Waheed, Z., Muhammad Ali, S., & Madin, J. (2017). Marine profiling of Marudu Bay, Sabah, Malaysia: Final Report.pp.88.
542	WORMS:874984	Animalia	Mollusca	Bivalvia	Carditida	Crassatelloidea	Crassatellidae	Bathytormus radiatus (Sowerby, 1825)	Not Evaluated	Marine	Al-Asif et al. (2020)	Bathytormus radiatus	Crassatellidae		1737625	Lawas	2020	https://doi.org/10.13057/biodiv/d211019	https://smujo.id/biodiv/article/view/6548	Al-Asif, A., Hamli, H., Abu Hena, M. K., Idris, M. H., Gerusu, G. J., Ismail, J. Bin, & Karim, N. U. (2020). Benthic macrofaunal assemblage in seagrass-mangrove complex and adjacent ecosystems of Punang-Sari Estuary, Lawas, Sarawak, Malaysia. Biodiversitas, 21(10), 4606–4615.
543	WORMS:181580	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Corbicula fluminea (O. F. Müller, 1774)	Least Concern	Freshwater	Shabdin and Alfred (2007)	Corbicula fluminea			1733038	Sarawak	2007		https://www.academia.edu/2572985/COMMERCIAL_MOLLUSCS_DISTRIBUTION_OF_THE_WESTERN_PART_OF_SARAWAK	Shabdin, M. Long, & Alfred, A. (2007). Commercial molluscs distribution of the Western part of Sarawak. The Sarawak Museum Journal, 63, 167–178.
544	WORMS:987269	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina bengalensis (Lamarck, 1818)	Least Concern	Marine	Hamli et al. (2012a)	Polymesoda bengalensis	Corbiculidae	Unaccepted	1733038	Sarawak	2012	https://doi.org/10.18517/ijaseit.2.4.202	http://ijaseit.insightsociety.org/index.php?option=com_content&view=article&id=9&Itemid=1&article_id=202	Hamli, H., Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012a). Diversity of edible mollusc (Gastropoda and Bivalvia) at selected divison of Sarawak, Malaysia. International Journal on Advanced Science, Engineering and Information Technology, 2(4), 5–7. 
545	WORMS:987269	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina bengalensis (Lamarck, 1818)	Least Concern	Marine	Hamli et al. (2012b)	Polymesoda bengalensis	Corbiculidae	Unaccepted	1733038	Sarawak	2012	https://dx.doi.org/10.3923/ijzr.2012.52.58	https://scialert.net/abstract/?doi=ijzr.2012.52.58	Hamli, Hadi, Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012b). Taxonomic study of edible bivalve from selected division of Sarawak, Malaysia. International Journal of Zoological Research, 8(1), 52-58.
546	WORMS:987269	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina bengalensis (Lamarck, 1818)	Least Concern	Marine	Hamli et al. (2015)	Polymesoda bengalensis	Corbiculidae	Unaccepted	1733038	Sarawak	2015		https://rdo.psu.ac.th/sjstweb/journal/37-1/-37-1-3.pdf	Hamli, Hadi, Rahim, A. A., Idris, M. H., Abu Hena, M. K., & King, W. S. (2015). Morphometric variation among three local mangrove clam species of corbiculidae. Songklanakarin Journal of Science and Technology, 37(1), 15–20.
547	WORMS:747114	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina expansa (Mousson, 1849)	Least Concern	Marine	Hamli et al. (2012a)	Polymesoda expansa	Corbiculidae	Unaccepted	1733038	Sarawak	2012	https://doi.org/10.18517/ijaseit.2.4.202	http://ijaseit.insightsociety.org/index.php?option=com_content&view=article&id=9&Itemid=1&article_id=202	Hamli, H., Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012a). Diversity of edible mollusc (Gastropoda and Bivalvia) at selected divison of Sarawak, Malaysia. International Journal on Advanced Science, Engineering and Information Technology, 2(4), 5–7. 
548	WORMS:747114	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina expansa (Mousson, 1849)	Least Concern	Marine	Hamli et al. (2012b)	Polymesoda expansa	Corbiculidae	Unaccepted	1733038	Sarawak	2012	https://dx.doi.org/10.3923/ijzr.2012.52.58	https://scialert.net/abstract/?doi=ijzr.2012.52.58	Hamli, Hadi, Idris, M. H., Abu Hena, M. K., & Wong, S. K. (2012b). Taxonomic study of edible bivalve from selected division of Sarawak, Malaysia. International Journal of Zoological Research, 8(1), 52-58.
549	WORMS:747114	Animalia	Mollusca	Bivalvia	Venerida	Cyrenoidea	Cyrenidae	Geloina expansa (Mousson, 1849)	Least Concern	Marine	Shabdin and Alfred (2007)	Polymesoda similis		Unaccepted	1733038	Sarawak	2007		https://www.academia.edu/2572985/COMMERCIAL_MOLLUSCS_DISTRIBUTION_OF_THE_WESTERN_PART_OF_SARAWAK	Shabdin, M. Long, & Alfred, A. (2007). Commercial molluscs distribution of the Western part of Sarawak. The Sarawak Museum Journal, 63, 167–178.
